台番号	G数	差枚	BB	RB
スマスロ サンダーV
ニューパルサーSP4 with 太鼓の達人
2665	5,515	+1,286	25	14
盾の勇者の成り上がり
2666	5,371	-1,857	0	16
押忍!番長ZERO
2667	2,673	+286	0	5
甲鉄城のカバネリ
2668	6,104	+619	17	0
ハードボイルド
2669	4,138	-1,666	9	10
2670	0	+0	0	0
2671	3,078	+143	10	7
クランキークレスト
2672	4,750	-381	14	14
2673	3,871	-1,285	10	8
2674	5,999	+524	22	15
SLOTドルアーガの塔
2675	3,889	+1,191	19	4
2676	1,982	+477	9	5
ディスクアップ ULTRAREMIX
2695	7,410	+619	26	16
2696	8,018	-809	24	15
痛いのは嫌なので防御力に極振りしたいと思います。
2697	1,158	+572	7	6
2698	4,866	+429	26	20
2699	2,844	-857	12	7
東京リベンジャーズ
2700	3,802	-2,095	0	4
2701	3,558	+1,000	0	7
2702	2,341	+429	0	5
無職転生 ～異世界行ったら本気だす～
2703	864	-285	0	3
2704	2,088	+334	0	10
2705	532	-333	0	2
ゴジラ対エヴァンゲリオン
2706	4,857	-3,238	27	0
回胴黙示録カイジ 狂宴
2707	3,936	+429	22	8
戦姫絶唱シンフォギア 正義の歌
2708	1,778	+715	0	2
GALFY
2709	5,514	-1,666	13	13
少女☆歌劇 レヴュースタァライト ‐The SLOT‐
2711	4,174	+96	26	0
乃木坂46
2712	1,825	+810	0	4
コードギアス 反逆のルルーシュ/復活のルルーシュ
2713	5,716	-285	0	6
新鬼武者3
2714	2,066	+96	0	4
タクトオーパス デスティニー
2716	5,747	-48	0	19
3187	4,698	+3,810	0	14
3188	2,777	-762	0	10
3189	1,007	-619	0	4
喰霊‐零‐Re
2717	8,053	+524	45	0
2718	9,209	-5,095	37	0
2719	7,983	-571	51	0
2720	8,243	+715	40	0
やじきた道中記参る！
2721	5,152	-4,904	0	18
2722	2,709	-1,428	0	9
2723	7,141	+1,524	0	19
2724	7,187	+1,000	0	23
2725	6,019	-2,857	0	17
2726	5,854	+7,619	0	20
2727	3,791	-714	0	10
2728	5,076	+191	0	12
2729	5,672	+1,429	0	13
2730	4,983	-3,142	0	15
2731	3,146	-2,142	0	10
2732	8,722	+2,762	0	24
東京喰種
2733	6,157	-3,095	0	13
2734	4,194	-2,523	0	13
2735	3,677	-476	0	11
2736	7,699	+9,143	0	16
2737	6,405	-2,619	0	21
2738	3,381	-2,714	0	8
2739	9,073	+3,048	0	29
2740	5,239	-1,619	0	15
2741	4,832	-952	0	14
2742	4,478	-4,857	0	13
2743	5,183	-1,762	0	13
2744	5,679	+1,143	0	13
2745	8,759	+3,572	0	24
2746	5,706	+3,191	0	14
2747	7,107	-2,523	0	18
2748	8,712	-619	0	24
2749	8,156	-5,095	0	30
2750	6,472	+10,858	0	13
2751	8,895	+4,477	0	23
2752	10,416	+8,667	0	26
2753	1,959	-2,238	0	3
2754	7,345	-3,571	0	27
2755	3,712	-3,762	0	10
2756	5,156	-190	0	13
2757	6,389	+3,334	0	17
2758	6,059	+5,381	0	14
2759	5,566	-4,047	0	17
2760	7,338	-3,000	0	17
2761	4,838	-4,095	0	17
2762	7,901	-2,619	0	23
2763	4,147	-4,047	0	12
2764	8,279	+7,286	0	18
2765	7,106	+762	0	22
2766	4,960	+953	0	15
2767	6,658	+3,905	0	12
2768	6,785	+905	0	17
2769	4,682	+3,000	0	10
2770	7,285	+191	0	20
2771	4,888	+96	0	14
2772	10,285	+7,286	0	30
2773	7,331	+4,524	0	17
2774	4,633	+5,191	0	8
2775	5,641	+1,429	0	14
2776	8,065	+3,334	0	16
2777	7,969	+3,953	0	17
2778	5,285	+4,477	0	12
2779	7,243	+2,381	0	22
2780	3,665	-142	0	6
2781	9,709	+14,762	0	21
2782	7,039	+4,381	0	18
2783	7,863	+8,715	0	16
2784	2,298	-1,714	0	8
2785	2,226	-762	0	8
2786	6,577	+2,286	0	17
2787	7,559	+8,619	0	10
2788	4,900	-4,333	0	14
2789	5,101	-2,142	0	17
2790	1,601	-1,571	0	6
2791	9,025	+6,810	0	26
2792	5,878	+6,762	0	11
2793	8,819	+762	0	22
2794	5,372	-2,047	0	20
沖ドキ!DUO アンコール
2821	2,359	-1,952	8	14
2822	1,350	-809	7	5
2823	442	+429	5	2
2824	414	+381	4	3
2825	2,491	-1,476	15	4
2926	5,554	-1,762	37	18
2927	522	+477	6	2
2928	1,122	-428	7	4
2929	3,108	-3,190	13	4
2930	1,068	-476	6	4
2931	836	-95	6	3
2932	2,181	+143	17	10
2933	3,101	-2,142	15	11
2934	1,855	-1,190	8	11
2935	2,312	-1,047	12	12
2936	731	-762	2	3
沖ドキ!BLACK
2826	0	+0	0	0
2827	1,064	+1,429	12	4
2828	253	+524	4	1
2829	1,683	+953	11	12
2830	3,565	+1,619	25	21
2831	851	-238	5	1
2832	770	-95	5	1
2833	7,605	-5,095	26	13
2834	383	+3,334	16	5
2835	1,137	+1,143	9	10
2836	839	+1,524	11	5
2837	1,271	+2,000	15	10
2838	4,060	-2,476	16	8
2839	2,613	-285	14	9
2840	1,337	+286	9	4
2841	1,417	+96	7	8
2878	2,751	-285	16	6
2879	3,107	-1,428	13	8
2880	4,836	-1,619	23	13
2881	3,155	-2,476	9	7
2882	2,525	-1,238	10	8
2883	209	+1,096	5	4
2884	4,229	-1,047	22	10
2885	1,978	+1,762	16	14
沖ドキ!GOLD‐30
2842	561	+143	4	1
2843	548	+1,096	9	0
2844	776	+3,905	21	7
2845	2,480	-1,190	10	5
2846	313	+429	4	1
2847	328	+905	5	2
2848	2,427	-2,571	6	1
2849	1,779	-714	9	4
2850	4,418	-3,142	14	10
ヤバチバ
2851	2,257	+3,667	15	5
2852	3,979	+1,381	19	15
2853	5,486	-5,095	16	18
2854	5,623	+381	18	12
2855	4,560	+477	19	18
L南国育ち SPECIAL
2856	2,376	+477	15	9
2857	2,989	-1,762	10	8
2858	340	+477	4	1
2859	2,080	+3,000	24	12
2860	1,613	-1,571	3	3
スマート沖スロ ニューキングハナハナV
2861	3,379	-476	11	6
2862	2,663	-571	8	7
2863	2,825	-857	8	4
2864	2,149	-95	8	4
2865	3,500	+524	15	5
沖ドキ!ゴージャス 30Φ
2866	1,064	-571	4	4
2867	1,621	-95	10	5
2868	5,044	-142	28	18
2869	4,164	-2,476	16	8
2870	2,570	-2,333	5	8
2871	1,272	+762	11	5
2872	3,291	-1,142	16	9
2873	3,487	-4,809	2	4
2874	2,085	+5,334	32	16
2875	281	+1,905	9	5
2876	1,144	+286	8	5
2877	1,572	+524	10	10
チバリヨ2
2886	2,746	+572	20	10
2887	2,082	-714	10	10
